N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
381,Armées,Autre,Acheteur,DAF,Île-de-France,Oui,,Dès la 1ère semaine,5,,Très utile,Non utilisé,Utile,Utile,Inconnu,Très utile,Utile,Utile,Utile,Utile,Utile,Non,,Lister l'ensemble des outils numériques et disponibles.,Oui mais insuffisamment,Courriels / Lettre d'information,,Pas encore,,Je ne sais pas encore,,,EEDY-YXWZ,07/05/2020 09:27:33,,07/05/2020 09:34:33,420.8352817,FR,Terminé,Direct,PC
382,Armées,Autre,conseillère en transition professionnelle,Agence Defense mobilite,,Pas suffisamment,Les réseaux sont sécurisés donc pas d'accès à nos bases de données. PAs d'ordinateur portable mis à disposition,La 2ème semaine,3,"Visio via ZOOM
. Utilisation du matériel personnel",Très utile,Très utile,Inconnu,Pas utile,Inconnu,Inconnu,Pas utile,Inconnu,Très utile,Inconnu,Inconnu,Non,,"pour suivre les visio. Skype et what's app ne peuvent pas accueillir un groupe de 13 personnes.
Utilisation de zoom sans être sure de la securisation du service.
PAs d'accès à nos bases de données sur réseau interne au ministère des armées",Non,Autre,compte rendu d'activité,Pas encore,,Je ne sais pas encore,,"Le télétravail permet une meilleure concentration et une organisation dans le travail.
J'espère que l'on pourra avoir le choix de continuer à télétravailler",T4U8-9UA8,07/05/2020 09:30:28,,07/05/2020 09:38:57,508.5896788,FR,Terminé,Direct,PC
383,Culture,Autre,Directrice adjointe EP,Ecole d'architecture,Île-de-France,Oui,,Jamais,2,,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Inconnu,Inconnu,Inconnu,Utile,Non,,Méconnaissance des outils par les personnels,Non,Courriels / Lettre d'information;Site Web,,Oui,,Je ne sais pas encore,,,X3XT-W37N,07/05/2020 09:26:53,,07/05/2020 09:40:18,804.1421042,FR,Terminé,Direct,PC
384,Armées,Chef.fe de mission / département / bureau (centrale),,Animation des fonctions financières et achats,,Pas suffisamment,"Pas d'outils de communication à distance efficace
Limites d'accès à internet
Inexistance d'outils de mobilisation à distance ""sécurisés"".",La 2ème semaine,3,"Utilisation de nos moyens personnels de communication
Instauration de point de rdv fixes dans la semaine
Etablissement d'une liste d'objectifs à échéance diverse avec point de rdv pour les rendus
Prises de contact régulière.",Très utile,Très utile,Pas utile,Très utile,Pas utile,Pas utile,Pas utile,Utile,Non utilisé,Très utile,Pas utile,Non,,"Connection difficile au réseau ministériel
Difficulté d'usage des outils ministériels ou interministériels
Consignes divergentes sur la sécurité des outils
Nécessité d'outils complémentaires (double écrans etc)",Non,Courriels / Lettre d'information,,Non,,Oui,"Télétravail
Management par objectifs
Gestion de projets","Le recours au numérique a été un réel succès et a contribué au développement rapide d'une nouvelle façon de travailler. Il y a eu un gain d'efficacité manifeste et une nouvelle priorisation des dossiers. Il y a eu une réflexion sur l'utilité des réunions présentielles. En définitive, le recours imposé au numérique nous a fait passer à une nouvelle ère de travail. Il convient de continuer en ce sens pour plus d'efficacité du service public.",FRRZ-JRD5,07/05/2020 09:32:58,,07/05/2020 09:48:57,958.7167491,FR,Terminé,Direct,PC
385,Culture,Autre,Directeur régional adjoint,DIRECTION RÉGIONALE DES AFFAIRES CULTURELLES,Grand Est,Pas suffisamment,La mise en confinement soudaine n'a pas permis de combler le retard considérable en équipements informatiques de mobilité,La 3ème semaine,2,"Le système de visioconférence présent dans les DRAC et les UDAP étant quasiment inopérant ou de mauvaise qualité, il a fallu se reporter sur des systèmes audio et trouver une nouvelle organisation du travail mixant le présentiel (pour l'équipe de direction) et le télétravail.",Très utile,Non utilisé,Très utile,Très utile,Non utilisé,Non utilisé,Très utile,Utile,Non utilisé,Très utile,Très utile,Non,,"Au début du confinement, difficultés à se connecter à distance sur les messageries mais problème réglé rapidement. Difficultés liées surtout au manque d'outils numériques de télétravail permettant l'accès à distance aux serveurs pour une grande partie des agents.
Difficultés parfois aussi liées au manque d'outils spécifiques type imprimantes ou scans personnels obligeant à une présence effective sur site pour signer et scanner des documents : risque important en cas de pandémie encore plus grave.",Non,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Pas encore,,Oui,"Sous réserve d'être mieux équipé, ouverture plus large au télétravail, mais aussi développement des réunions en audioconférence ou visioconférence afin de minimiser les déplacements, importants dans une région aussi étendue que la région Grand-Est.","Après une période difficile de mise en place, des nouveaux modes de travail liés au confinement et développées grâce à de nouveaux outils ont permis la mise en place de nouvelles procédures parfois plus efficaces et efficientes que celles utilisées auparavant. Même si le présentiel ne pourra jamais être remplacé, il me semble nécessaire de réfléchir, fort de l'expérience vécue pendant ces semaines de confinement, à la mise en place de nouveaux processus qui s'appuient sur des déplacements physiques limités (pour les réunions) et peut-être la généralisation maitrisée du télétravail.",U3WE-C826,07/05/2020 09:30:08,,07/05/2020 09:49:00,1131.5755131,FR,Terminé,Direct,PC
386,Interieur,Autre,RSSI,DGPN/SCPTS,,Oui,,Dès la 1ère semaine,3,"nous avons ""profité"" de cette crise pour approfondir l'usage d'outil dont nous avions aupparavant connaissance mais un usage limité comme tchap. 

Nous avons aussi pu expérimenté l'usage d'Osmose et de plano",Très utile,Non utilisé,Utile,Non utilisé,Très utile,Utile,Non utilisé,Utile,Très utile,Non utilisé,Pas utile,Non,,La principale difficulté réside selon moi au possibilité de la visio conférence qui devrai être complété par une offre de service d'audioconférence ou conférence téléphonique. cela permettrait de soulager les capacités de la visio et exploiter de manière plus efficiente les possibilités de la toip,Non,Courriels / Lettre d'information,,Non,,Oui,le télétravail,"Je penses que l'administration doit développer sa communication dans les services/outils mise en place qui sont des concurrents très efficaces aux moyens gafam, les problématiques cyberdéfense en moins.",9SQE-L65M,07/05/2020 09:40:31,,07/05/2020 09:50:47,615.876888,FR,Terminé,Direct,PC
387,Culture,Autre,Directeur adjoint d'un SCN,Médiathèque de l'architecture et du patrimoine,,Oui,,La 2ème semaine,3,"Au-delà de l'emploi des messageries et visio-conférences, les appels téléphoniques réguliers sont rapidement apparus comme indispensables à la bonne marche du service.",Très utile,Pas utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Utile,Inconnu,Non utilisé,Très utile,Non,,Principale difficulté : le manque de postes informatiques permettant la connexion à distance au réseau ministériel,Non,Courriels / Lettre d'information;Autre,Appels téléphoniques,Oui,La mise en place d'un télétravail efficace demande une certaine accoutumance et un bon accompagnement.,Je ne sais pas encore,,"Des points positifs : une meilleure utilisation des outils mis à disposition, le développement de nouvelles pratiques, parfois plus rationnelles que les anciennes ; 

Des points négatifs : l'impression d'une certaine inégalité dans la pratique quotidienne des outils numériques, accrue par un degré encore insuffisant d'équipement.",BLSL-QXP7,07/05/2020 09:48:00,,07/05/2020 09:57:33,572.6055339,FR,Terminé,Direct,PC
388,Interieur,Directeur.trice (territoriale),,Direction de la citoyenneté et de la légalité,Île-de-France,Non,"Pas de matériel de télétravail à disposition
Nous avons pallié avec Nomad2, Osmose et nos messageries et équipements personnels.",La 2ème semaine,1,Appel aux bonnes volontés et aux moyens personnesl,Très utile,Très utile,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Très utile,Oui,Démarches simplifiées : mise en place d'une démarche simplifiée pour la transmission des actes au contrôle de légalité,"La principale difficulté est liée au manque de moyens : très peu de nomad ou SPAN (un seul pour toute la direction qui était attribué à un agent en télétravail habituellement)
Osmose mérite d'être élargi en termes de places et d'ergonomie
L'installation de nomad2 n'est pas simple, mais cela a été très utilisé; par ailleurs, lorsqu'on répond de la boîte fonctionnelle, c'est notre nom qui s'affiche ce qui n'est pas adapté + pas d’arborescence partagée possible sur les boîtes fonctionnelles 
Pas de renvoi du poste téléphonique vers un téléphone personnel",Non,Courriels / Lettre d'information,,Non,,Oui,Télétravail lorsque nous disposerons des outils adaptés,"La problématique principale est celle de la disponibilité des outils.
Vigilance sur le lien collectif.",3SXC-72CL,07/05/2020 09:48:51,,07/05/2020 10:02:09,797.2704626,FR,Terminé,Direct,PC
389,Culture,Autre,secrétaire générale,Ecole nationale supérieure d'art de DIJON (EPA),,Pas suffisamment,"Nous n'avions pas suffisamment d'information sur la durée du confinement que nous avons initialement sous estimée. Par ailleurs, nous n'avons pas de connection VPN pour l'accès aux dossiers.
prat",Jamais,1,"rédaction d'un plan de continuité d'activité
management : appels téléphoniques aux équipes (sur nos moyens personnels), réunion skype",Inconnu,Très utile,Inconnu,Très utile,Inconnu,Inconnu,Très utile,Inconnu,Inconnu,Inconnu,Inconnu,Non,,outils numériques non adaptés,Non,Courriels / Lettre d'information,,Oui,Il faut un minimum de présentiel,Oui,,"il faut intégrer davantage les pratiques télétravail : à cet effet, le fait de demander aux agents un dépôt de congés alors qu'ils sont en télétravail n'est ni juste ni un message positif
les EP doivent progresser sur la sécurité informatique dans le cadre des échanges à distance",HU8E-8WEJ,07/05/2020 09:55:27,,07/05/2020 10:02:57,450.7595045,FR,Terminé,Direct,PC
390,Culture,Autre,Secrétaire générale,Secrétariat général,,Oui,,Jamais,4,"Mise à disposition d'ordinateurs portables, accès au réseau, appels réguliers, etc.",Pas utile,Très utile,Pas utile,Pas utile,Inconnu,Inconnu,Très utile,Utile,Inconnu,Utile,Non utilisé,Oui,Prestataire habituel,"outils nouveaux pour le service, à développer",Non,Courriels / Lettre d'information;Autre,appels téléphoniques,Oui,"Agents non utilisateurs et problème d'accès au réseau à leur domicile.
Abesnce d'outils pour certains",Oui,télétravail,Il est important pour mon EPA de contineuer et d'améliorer nos outils numériques.,CY5T-LZUT,07/05/2020 10:03:44,,07/05/2020 10:09:01,316.7122928,FR,Terminé,Direct,PC
391,Interieur,Sous-directeur.trice (centrale),,DCCRS -SDSO,,Pas suffisamment,"Peu de moyens de communication à distance préexistant pour les personnels des bureaux
Délais de mise en œuvre des quelques outils existant et accessibles (messagerie)
Temps de ""rodage"" de ces nouveaux modes et moyens e fonctionnement",Dès la 1ère semaine,2,"réorganisation ""permanente"", pour une bonne adaptabilité aux contraintes et besoins, des horaires, des alternances de présence, travail à distance réel que pour ceux ayant été ""doté"" d'un SPAN...",Très utile,Inconnu,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Utile,Inconnu,Inconnu,Utile,Non,,"le manque de moyens en matériels (SPAN)
les délais de mise en place de consultation de messagerie  à distance et de paramétrage des outils",Non,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,"Une aide réelle, qui nécessite cependant une préparation préalable (moyens matériels, acculturation, doctrine d'utilisation et d'organisation, ...)
Domaine insuffisamment développé, utilisé et intégré par les personnels",X29L-MA8P,07/05/2020 09:46:24,,07/05/2020 10:09:07,1362.9508471,FR,Terminé,Direct,PC
392,Armées,Autre,ADJOINT CHEF DE BUREAU,DRH MD,Île-de-France,Non,Pas d'ordinateur connecté à un internet avec la messagerie sécurisé du minarm,La 4ème semaine ou après,4,Création de comptes g-mail et whatsapp en attendant la livraison de portables SMOBI,Très utile,Utile,Non utilisé,Pas utile,Très utile,Non utilisé,Très utile,Utile,Très utile,Non utilisé,Utile,Non,,"communication et interactions moindres qu'à la normale
il faudra former les encadrants sur ce mode innovant de collaboration et le management/posture associé(e) : pour bon nombre, l'absence de collaborateurs ""sous la main"" a été vécue comme une perte de pouvoir ! Il  est difficile de subir ces soupçons en particulier concernant les femmes probablement jugées moins responsables que leurs homologues masculins.",Non,Courriels / Lettre d'information,,Pas encore,,Oui,"visio
télétravail","Pour la suite : 
Une part de télétravail à temps partiel d'1 à 2 jours hebdo serait optimale pour concilier les interactions professionnelles nécessaires et traiter plus efficacement les dossiers de fond (pas le dérangement permanent du présentiel qui ne permet pas d'avancer aussi vite sur des travaux de conception/réflexion) 
il faudra former les encadrants sur ce mode innovant de collaboration et le management/posture associé(e) : pour bon nombre, l'absence de collaborateurs ""sous la main"" a été vécue comme une perte de pouvoir ! Il  est difficile de subir ces soupçons en particulier concernant les femmes probablement jugées moins responsables que leurs homologues masculins.
Du côté collaborateurs, certains ont pris des risques et maintenu une activité en présentiel qui n'était pas ""essentielle"" ou pour ne pas être considérés comme des ""profiteurs"" ou pour ne pas se retrouver face à leur situation personnelle/familiale.",JWBU-PNPY,07/05/2020 09:37:52,,07/05/2020 10:12:43,2091.1507804,FR,Terminé,Direct,PC
393,Culture,Autre,Directeur général,Centre national du cinéma et de l'image animée (CNC),,Oui,,Jamais,5,TAD,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,RAS,Oui mais insuffisamment,Courriels / Lettre d'information,,Oui,,Oui,,,TQRT-KDND,07/05/2020 10:09:58,,07/05/2020 10:13:26,208.3918801,FR,Terminé,Direct,PC
394,Culture,Sous-directeur.trice (centrale),,"direction générale des patrimoines - service de l'architecture - sous-direction de l'architecture, de la qualité de la construction et du cadre de vie",,Pas suffisamment,"hétérogénéité d'équipement entre agents, défaut d'habitude du mode de management à distance, très faible diffusion du télétravail, désorganisation ministérielle générale",La 3ème semaine,2,"utilisation renforcée du mail notamment pour la diffusion renforcée d'information
soutien moral régulier par mail (encouragement, félicitations systématiques, réactivité, suppression du formalisme…)
utilisation de la visio-conférence via un abonnement personnel
échanges bilatéraux
fonctionnement par projets et pas du tout par structure hiérarchique",Très utile,Très utile,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Utile,Oui,"seul outil ministériel connecté au réseau mail professionnel : une tablette
ordinateur professionnel ne permettant aucune connexion wifi
tablette professionnelle ne permettant pas l'utilisation des liens insérés dans les mails….

de ce fait, recours au mon équipement personne (ordinateur) et réseau internet personnel
recours à un abonnement Zoom personnel (pris au mois)
transfert du support professionnel au support personnel et retour….","sur-sécurité des outils informatiques professionnels…
en période de confinement, confinée à une distance de plus de 100km, pour installer une clef VPN sur mon ordinateur, il faut prendre RV et se rendre au ministère….
on marche sur la tête!!!!
dans les entreprises privées, il existe des systèmes beaucoup plus simples qui permettent d'accéder aux serveurs professionnels via un appareillage personnel.
ca évite l'utilisation de clefs USB qui sont très utilisées….
autre problème, des agents partis en confinement avec un équipement informatique plus ou moins efficace pour recevoir les mails professionnels. Certains équipés uniquement d'un téléphone personnel (chef de bureau) avec un portable pro qui ne pouvait être connecté faute de clef VPN. d'autres équipés en MAC personnel avec des difficultés récurrentes de compatibilité

autre problème majeur: l'absence de signature numérique!!!!
et une inadaptation des circuits internes de courrier via le numérique",Non,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Oui,"beaucoup de migraines et de douleurs musculo-squelettiques
une intensité de travail beaucoup plus importante en télétravail qu'en présentiel (moins de réunions, moins de temps de décompression….)
un manque de relations sociales (la visio est unanimement reconnue comme plus agréable que l'audio-conférence car on se voit…)",Oui,"généralisation de l'utilisation de l'instruction numérique et de questionnaires numériques en ligne
utilisation de la visio-conférence pour intensifier les relations avec les réseaux territoriaux
soutien au télétravail pour tous les agents et donc concentration des réunions présentielles sur des jours fixes
réduire la réunion physique aux besoins d'un travail en commun, 
pour les réunions de transmission d'informations, utilisation renforcée de la visio.","le monde administratif est à des années lumière d'une appropriation, notamment en centrale.
l'organisation, les circuits de validation, le défaut de généralisation de la signature numérique, l'équipement informatique des agents, l'archaïsme des outils, la culture du papier et du rédigé, tout ça éloigne du numérique….

un basculement numérique est nécessaire à mon sens mais il bouleverse les rapports entre individus, les mécanismes de contrôle, le rapport au temps de travail, le rapport au temps tout court et le rapport à l'écrit
plus rapide, plus agile, basculer à l'ère numérique, c'est refonder réellement le fonctionnement administratif en utilisant beaucoup plus le fonctionnement en réseau et le Bottom-up et en étant beaucoup plus réactif. On en est loin, surtout en centrale….",JZVD-FA6K,07/05/2020 09:39:15,,07/05/2020 10:15:31,2175.3913388,FR,Terminé,Direct,PC
395,Culture,Autre,Directeur de SCN,"Direction des Patrimoines, Service des Musées de France
Musée des Plans-Reliefs, Invalides",,Pas suffisamment,"travail aisé à distance sur un plan scientifique et administratif, difficulté à maintenir le contact avec certains agents d'accueil et de surveillance",Jamais,4,"échanges journaliers avec mes principaux collaborateurs,",Très utile,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Oui,Notre informaticien externe car la messagerie du ministère était saturée ou dysfonctionnait à un moment donné,Impossibilité d'avoir accès à distance à nos fichiers si ils n'étaient transférés sur clef,Oui,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,La présence du patrimoine culturel et de médiations culturelles pourraient être renforcé sur les réseaux sociaux. Nous avons mis au point une médiation culturelle sur la maquette du Mont Saint Michel avec le mécénat de Microsoft qui est d'accord pour l'installer sur le web et nous n'y sommes pas arrivé pour diverses raisons.,CK8V-5HP3,07/05/2020 09:50:15,,07/05/2020 10:17:11,1615.8776149,FR,Terminé,Direct,PC
396,Armées,Autre,Chargé d'études tutelle des opérateurs,Direction des affaires financières,Île-de-France,Oui,,Dès la 1ère semaine,5,,Très utile,Utile,Non utilisé,Très utile,Utile,Non utilisé,Utile,Utile,Inconnu,Non utilisé,Utile,Non,,La principale difficulté a été de passer de 0 jours de télétravail à 7 jours sur 7 pendant 2 mois.,Non,Autre,des pauses cafés virtuelles,Non,,Oui,"Poursuivre le télétravail pour certains agents, certains jours de la semaine pour travailler sur des dossiers de fond.","La mise en oeuvre du télétravail au ministère des armées, du moins à la DAF, est un succès. Une grande partie des agents ont pu avoir recours au télétravail relativement rapidement.
Il serait pertinent de poursuivre l'usage du télétravail dans les semaines post-crise. Cela a fonctionné pendant la crise liée au covid. Cela devrait donc fonctionner en ""temps normal"". Il faut que les managers encouragent la pratique du télétravail et aient confiance en leur équipe. Une chose est sûre : si un agent ne travaille pas lorsqu'il est au bureau, il n'y a pas de raison qu'il travaille lorsqu'il est chez lui en télétravail. Mais pour les personnes qui sont sérieuses sur le lieu de travail, les managers n'ont pas à douter de leur investissement en télétravail.",XXSK-A6NC,07/05/2020 09:55:44,,07/05/2020 10:20:16,1471.7471019,FR,Terminé,Direct,PC
397,Armées,Autre,Chargé d'études,DAF,Île-de-France,Oui,,Dès la 1ère semaine,4,"Conférences téléphoniques.
Serveur partagé.",Très utile,Utile,Utile,Utile,Utile,Utile,Utile,Utile,Utile,Utile,Très utile,Non,,,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"La crise sanitaire, à laquelle s'ajoute le ralentissement des activités ainsi que des difficultés périphériques (ouverture partielle des écoles prévue, par exemple) sont par eux-mêmes porteurs de difficultés dont les impacts doivent être appréhendés au cas par cas, ce qui n'exclue toutefois pas une approche générale, par catégorie, de ces problèmes, qui, en définitive, touchent tous les agents.",YTQX-DTS8,07/05/2020 10:10:20,,07/05/2020 10:20:28,608.5516257,FR,Terminé,Direct,PC
398,Culture,Autre,Secrétaire générale d'un service à compétence nationale,"Laboratoire de Recherche des Monuments Historiques
Ministère de la Culture / Direction générale des Patrimoines / Sous-direction des Monuments Historiques et des espaces protégés",Île-de-France,Oui,,La 2ème semaine,4,,Très utile,Très utile,Très utile,Très utile,Non utilisé,Non utilisé,Très utile,Très utile,Non utilisé,Non utilisé,Non utilisé,Non,,,Non,Courriels / Lettre d'information;Web ou audio conférences;Autre,Espace collaboratif et téléphone,Pas encore,,Oui,"Télétravail 2 jours par semaine
Visioconférence
Espace collaboratif","Une autre façon de travailler : plus de temps pour soi, moins de transports, moins de stress.",CF5J-KCED,07/05/2020 10:23:18,,07/05/2020 10:29:18,359.7706607,FR,Terminé,Direct,PC
399,Interieur,Autre,"Sous-préfète, secrétaire générale",Préfecture de l'Ardèche,Auvergne-Rhône-Alpes,Oui,,Dès la 1ère semaine,1,"Prise de contact quotidienne des chefs de service avec leurs agents ; réunions virtuelles ; etc.

Organisation du travail à distance avec, pour certains agents, des venues régulières en présentiel pour récupérer des dossiers ou gérer certaines missions sur place.

Suivi quotidien de la position statutaire individuelle de chaque agent (présentiel, ASA, TAD).",Très utile,Très utile,Utile,Utile,Utile,Utile,Pas utile,Utile,Inconnu,Non utilisé,Très utile,Oui,Ressources informatiques individuelles des agents en TAD.,"En dehors de quelques terminaux SPAN qui ont été fort utiles, les agents n'ont pu disposer que de leur messagerie professionnelle va Nomade2. Un équipement massif des agents en terminaux NOEMI est indispensable.",Non,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Pas encore,,Oui,Audio-conférences ; développement du télétravail.,"J'ai découvert un vrai potentiel sur le travail à distance mais une insuffisance criante des moyens mis à la disposition des agents, aussi bien en quantité qu'en souplesse et agilité d'emploi (ex : Skype non utilisable sur nos terminaux).",4B4R-7PST,07/05/2020 10:20:28,,07/05/2020 10:33:42,793.3657154,FR,Terminé,Direct,PC
400,Interieur,Chef.fe de service (centrale),,DGPN / Service central de la police technique et scientifique / Pôle central d'analyses des traces technologiques,,Pas suffisamment,"Les infrastructures mises en place au sein de la DGPN ne sont pas adaptés à un travail à distance intensif comme nous l'avons connu durant la période de confinement. L'accès à sa messagerie Pro via Nomade2 est indispensable mais clairement insuffisant, les infrastructures SPAN (dèjà rares) ont souvent été indisponibles et ne sons pas adaptées à nos contraintes métier.",La 2ème semaine,1,"​- Mise en place de groupes spécifiques via WhatsApp en raison des difficultés à les créer rapidement (dès le premier jour de confinement) sur Tchap
- Généralisation des accès aux messageries pro via Nomade2 pour tous les personnes du service
- Tenue de nombreuses réunions internes en visio, par tous les moyens possibles : Skype, Zoom, Webconf (si personne présente au service), vidéoconf du ministère via réservation de pont à la conciergerie, etc.
- Utilisation des ressources d'Osmose pour faciliter les échanges de documents, n'ayant plus accès aux ressources accessibles via les postes ministère/RIE
- Mise en place d'une procédure permettant de travailler sur les saisines judiciaires à distance (donnés numériques issues des pièces à conviction et non sur les scellés eux-mêmes) via des retours au service ponctuels (pas de transferts de données en ligne)",Très utile,Très utile,Pas utile,Très utile,Très utile,Très utile,Très utile,Non utilisé,Très utile,Très utile,Non utilisé,Non,,"​- Ne pas avoir eu accès à l'ensemble ressources disponibles sur le RIE (lecteurs réseau, dossiers d'archives de messagerie pro) à distance
- obligation de travailler de chez soi avec trois moyens de communication différents : PC portable habutel (poste RIE restant hors réseau à domicile), Pc personnel connecté à internet pour accès à la messagerie pro via Nomade2, tablette Neo pour accès aux ressources disponibles sur intranet. Cela fait beaucoup !",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Réseau social;Site Web;Web ou audio conférences;Autre,Osmose,Non,,Oui,"​- Utilisation d'Osmose
- Pérennisation de l'accès à la messagerie pro via Nomade2 pour chaque agent
- ...","Les infrastructures en place au sein de la DGPN ne sont pas adaptées pour permettre de continuer à travailler efficacement dans un contexte de crise comme nous venons de le connaître. Les solutions technologiques adaptées et présentant toutes les garanties nécessaires en terme de sécurité existent pourtant depuis longtemps au sein de nombreuses entreprises privées sensibles (ex: banques, etc.) mais également au sein d'autres administrations, pour permettre de disposer des mêmes ressources chez soi que sur son lieu de travail (connexion via VPN). La technologie SPAN qui se rapproche le plus est d'un autre âge.
Ce genre d'épisode de confinement étant malheureusement amené à se reproduire dans le futur, il est important d'adapter rapidement les infrastructures existantes.",SDLL-3V88,07/05/2020 09:08:28,,07/05/2020 10:36:33,5285.1187629,FR,Terminé,Direct,PC
401,Armées,Autre,Chargée de qualité,Défense Mobilité,Île-de-France,Oui,,Dès la 1ère semaine,5,,Très utile,Très utile,Non utilisé,Utile,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non,,"Les points en visio-conférence (TIXEO) très nombreux (trop nombreux je pense, au détriment des autres travaux).",Non,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,,QWDF-W5KY,07/05/2020 10:34:46,,07/05/2020 10:45:12,626.126908,FR,Terminé,Direct,PC
402,Armées,Autre,Chargée de mission de la professionnalisation des agents de la communauté financière,Direction des affaires financières,Île-de-France,Oui,,La 2ème semaine,3,"Utilisation des outils collaboratifs (Google Drive, Zoom...)",Utile,Très utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Très utile,Oui,"Mes outils personnels (ordinateur, mobile, tableau perso)",Réseau,Oui mais insuffisamment,Courriels / Lettre d'information;Autre,Téléphone,Non,,Je ne sais pas encore,,"Le télétravail reste efficace s'il est anticipé (moyens techniques, management...).",SEAA-5XYR,07/05/2020 10:39:07,,07/05/2020 10:47:39,512.3945652,FR,Terminé,Direct,PC
403,Transition Ecologique et Solidaire,Chef.fe de service (territoriale),,DDT49,Pays de la Loire,Oui,,Dès la 1ère semaine,3,,Très utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Non utilisé,Très utile,Non,,"ordinateurs verrouillés, pas d'accès micro et caméra, d'où pas d'utilisation des outils de visio ( utilisés par les partenaires)
nombre insuffisant de VPN au début du confinement
méconnaissance des outils collaboratifs",Oui mais insuffisamment,Courriels / Lettre d'information;Site Web;Web ou audio conférences,,Pas encore,,Oui,"outils d'échange (Tchap), audio conférence, augmentation du volume de télétravail",,2DMH-PBE8,07/05/2020 10:43:04,,07/05/2020 10:48:19,314.6639109,FR,Terminé,Direct,PC
404,Armées,Autre,CTP,Défense Mobilité,Auvergne-Rhône-Alpes,Oui,,Dès la 1ère semaine,4,,Utile,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non utilisé,Utile,Non utilisé,Non utilisé,Non,,RAS,Oui,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,RAS,XNPW-Y4Q4,07/05/2020 10:42:18,,07/05/2020 10:51:07,529.1373803,FR,Terminé,Direct,PC
405,Armées,Autre,Assistante,DIRECTION DES AFFAIRES FINANCIERES,Île-de-France,Oui,,La 2ème semaine,4,,Très utile,Utile,Pas utile,Pas utile,Très utile,Utile,Très utile,Très utile,Inconnu,Pas utile,Très utile,Non,,Pas accès à certains outils numériques,Oui,Courriels / Lettre d'information;Site Web;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,WPLN-47MK,07/05/2020 10:47:54,,07/05/2020 10:56:08,494.5106478,FR,Terminé,Direct,PC
